,Title,Published_date,Views,Likes,Dislikes,Comments,Month
164,"बात करो तो ऐसे, नहीं तो चुप रहो! COMMUNICATION SKILLS IN HINDI | HOW TO APPEAR SMART AND INTELLIGENT",25-10-2020,802798,67480,0,2230,Oct
165,क्रिएटिव बनना सीखो सिर्फ एक चीज़ को काबू करके | Hyperfocus by Chris Bailey Summary in Hindi | Yebook,04-10-2020,249708,17343,0,1890,Oct
166,ये देखने के बाद आपका दिमाग पहले जैसा नहीं रहेगा | After Watching This Your Brain Won't Remain Same,26-09-2020,183443,14572,0,566,Sep
167,ज्यादा सोचने वाले vs कम सोचने वाले | How to Stop Mind's Overthinking Problem in Hindi | Yebook,16-09-2020,132188,10483,0,338,Sep
168,Extremely Powerful Speech for Success in Life in Hindi | yebook,10-09-2020,78568,6082,0,295,Sep
169,THE FOUR TENDENCIES BY GRETCHEN RUBIN SUMMARY IN HINDI by YEBOOK | PSYCHOLOGY VIDEO IN HINDI,06-09-2020,108968,8559,0,433,Sep
170,पढ़ा हुआ याद रखना सीखो | 6 Amazing Ways to Remember Anything | Sharpen Your Mind and Boost Memory,16-08-2020,158156,14246,0,543,Aug
171,कामयाबी का Ultimate Formula! The 5-Hour Rule! 🔥🔥🔥 | Yebook,09-08-2020,697681,42453,0,909,Aug
172,4 कहानियां जो आपकी ज़िन्दगी बदल देंगी | 4 Zen Stories That Will Change Your Life in Hindi | Yebook,26-07-2020,168918,17034,0,504,Jul
173,ऐसा होना चाहिए ATTITUDE! 🔥🔥🔥 खुद के बारे में बुरा सोचने वाले ये विडियो देखें | MOTIVATIONAL STORY,19-07-2020,868230,62210,0,1016,Jul
174,Jeff Bezos ने बताया निर्णय लेने का सही तरीका | How to Take Right Decisions Like Jeff Bezos in Hindi,17-07-2020,138011,8654,0,229,Jul
175,दिमाग शांत करने की जापानी तकनीक | Learn to Calm Your Mind by Jin Shin Jyutsu Technique | Yebook,12-07-2020,507162,39049,0,807,Jul
176,सबसे तेज़ बनने के लिए 12 रूल्स याद रखो | 12 Life Changing Rules | BRAIN RULES by John Medina in Hindi,05-07-2020,545031,31328,0,567,Jul
177,बात करने का FORD METHOD | बातें निकलवाने के 4 तरीके | Psychological Tricks to Know More About Others,28-06-2020,297311,22614,0,501,Jun
178,सुशांत सिंह की समझदारी भरी बातें सुन कर हैरान रह जाओगे | Understated Wisdom Of Sushant Singh Rajput,21-06-2020,2353054,92839,0,3300,Jun
179,अपनी ज़िन्दगी का हीरो बनना सीखो | An Eye Opening Motivational Video in Hindi | Yebook,19-06-2020,90318,7466,0,338,Jun
180,अपनी INSULT का जवाब देना सीखो | How to react when someone insults you? Dealing With Rude People,17-06-2020,664492,48012,0,1399,Jun
181,"ये लोग आपको गरीब रखना चाहते हैं, चौकाने वाला सच! Shocking Interview of Robert Kiyosaki on Money",02-06-2020,608711,33041,0,795,Jun
182,आत्मनिर्भर बनना सीखो | Learn to Be Self Dependent and Self Reliant Yebook,24-05-2020,536138,50847,0,1290,May
183,"21 दिन तक करके देखो, पहले जैसे नहीं रहोगे | Try This for 21 Days | Amazing Way to Change Your Life",22-05-2020,3671468,188114,0,3755,May
184,"ये 10 आदतें बनाती हैं चालाक | 10 Habits to Maximise Brain Power | Limitless by Jim Kwik, Brain Power",17-05-2020,430120,31269,0,513,May
185,सोते हुए सपने देखना आपकी ज़िन्दगी बदल सकता है | Unbelievable Science of Dreams | ybk,13-05-2020,119437,7427,0,402,May
186,यह किताब तुम्हे तुम्हारी असलियत बता देगी | The Four Agreements by Don Miguel Ruiz in Hindi | yebook,10-05-2020,188770,20654,0,3421,May
187,कौवे की तरह सोचने वाले लोग | Never Think Like This Crow | Motivational Story in Hindi,07-05-2020,109384,9939,0,606,May
188,1PM से 4PM के बीच होती है गलतियाँ | When by Daniel H Pink | Afternoon Slump | yebook,03-05-2020,175599,13351,0,375,May
189,इसलिए सिर्फ 1% कामयाब होते हैं | Elon Musk's 5 Best Advises for Students | Advice to Youth | yebook,29-04-2020,130445,9251,0,284,Apr
190,PASSION ढूँढने का जापानी तरीका | Ikigai in Hindi | IKIGAI Summary | How to Find Passion in Hindi,26-04-2020,2064055,130130,0,2390,Apr
191,आपके बिस्तर में छिपी है कामयाबी | Make Your Bed by Admiral William H McRaven | Motivational Story,22-04-2020,92887,7420,0,274,Apr
192,The 2 Minute Rule Will Quickly Change Your Life – James Clear,19-04-2020,333412,25513,0,711,Apr
193,साबित हो गया हम धोखे में थे | We Were Living in an Illussion | Lockdown Motivational Video | yebook,17-04-2020,104772,10120,0,576,Apr
194,Man's Search For Meaning by Viktor Frank | यह चीज़ खो दी तो सब ख़त्म! | Never Loose One Thing in Life,12-04-2020,158410,12514,0,661,Apr
